Abandoned Places - A Time for Heroes;/opt/brickdos/dos/start-pi-x/Abandoned Places.sh
Aladdin;/opt/brickdos/dos/start-pi-x/Aladdin.sh
Beneath a Steel Sky;/opt/brickdos/scummvm/start-pi/Beneath a Steel Sky.sh
Budokan;/opt/brickdos/dos/start-pi-x/Budokan.sh
Centurion - Defender of Rome;/opt/brickdos/dos/start-pi-x/Centurio.sh
Civilization 1;/opt/brickdos/dos/start-pi-x/Civilization 1.sh
Command & Conquer - Alarmstufe Rot - Allianz;/opt/brickdos/dos/start-pi-x/Command & Conquer - Alarmstufe Rot - Allianz.sh
Command & Conquer - Alarmstufe Rot - Gegenangriff;/opt/brickdos/dos/start-pi-x/Command & Conquer - Alarmstufe Rot - Gegenangriff.sh
Command & Conquer - Alarmstufe Rot - Sowjets;/opt/brickdos/dos/start-pi-x/Command & Conquer - Alarmstufe Rot - Sowjets.sh
Command & Conquer - Alarmstufe Rot - Vergeltungsschlag;/opt/brickdos/dos/start-pi-x/Command & Conquer - Alarmstufe Rot - Vergeltungsschlag.sh
Command & Conquer - Der Tiberiumkonflikt - Der Ausnahmezustand;/opt/brickdos/dos/start-pi-x/Command & Conquer - Der Tiberiumkonflikt - Der Ausnahmezustand.sh
Command & Conquer - Der Tiberiumkonflikt - GDI;/opt/brickdos/dos/start-pi-x/Command & Conquer - Der Tiberiumkonflikt - GDI.sh
Command & Conquer - Der Tiberiumkonflikt - NOD;/opt/brickdos/dos/start-pi-x/Command & Conquer - Der Tiberiumkonflikt - NOD.sh
Commander Keen 1;/opt/brickdos/dos/start-pi-x/Commander Keen 1.sh
Commander Keen 2;/opt/brickdos/dos/start-pi-x/Commander Keen 2.sh
Commander Keen 3;/opt/brickdos/dos/start-pi-x/Commander Keen 3.sh
Commander Keen 4;/opt/brickdos/dos/start-pi-x/Commander Keen 4.sh
Commander Keen 5;/opt/brickdos/dos/start-pi-x/Commander Keen 5.sh
Das Schwarze Auge 1 - Die Schicksalsklinge;/opt/brickdos/dos/start-pi-x/Das Schwarze Auge 1 - Die Schicksalsklinge.sh
Das Schwarze Auge 2 - Sternenschweif;/opt/brickdos/dos/start-pi-x/Das Schwarze Auge 2 - Sternenschweif.sh
Das Schwarze Auge 3 - Schatten über Riva;/opt/brickdos/dos/start-pi-x/Das Schwarze Auge 3 - Schatten über Riva.sh
Demon Stalkers;/opt/brickdos/dos/start-pi-x/Demon Stalkers.sh
Descent;/opt/brickdos/dos/start-pi-x/Descent.sh
Destruction Derby;/opt/brickdos/dos/start-pi-x/Destruction Derby.sh
Die Siedler 1;/opt/brickdos/dos/start-pi-x/Die Siedler 1.sh
Die Siedler 2;/opt/brickdos/dos/start-pi-x/Die Siedler 2.sh
Discworld 1;/opt/brickdos/scummvm/start-pi/Discworld 1.sh
Discworld 2;/opt/brickdos/scummvm/start-pi/Discworld 2.sh
Doom 1;/opt/brickdos/dos/start-pi-x/Doom 1.sh
Doom 1 - The Plutonia Experiment;/opt/brickdos/dos/start-pi-x/Doom 1 - The Plutonia Experiment.sh
Doom 1 - TNT - Evilution;/opt/brickdos/dos/start-pi-x/Doom 1 - TNT - Evilution.sh
Doom 2;/opt/brickdos/dos/start-pi-x/Doom 2.sh
Duke Nukem 1 - Episode 1;/opt/brickdos/dos/start-pi-x/Duke Nukem 1 - Episode 1.sh
Duke Nukem 1 - Episode 2;/opt/brickdos/dos/start-pi-x/Duke Nukem 1 - Episode 2.sh
Duke Nukem 1 - Episode 3;/opt/brickdos/dos/start-pi-x/Duke Nukem 1 - Episode 3.sh
Duke Nukem 2;/opt/brickdos/dos/start-pi-x/Duke Nukem 2.sh
Duke Nukem 3D;/opt/brickdos/dos/start-pi-x/Duke Nukem 3D.sh
